field_id,question_text
G12_table1__Digital_payments_to_suppliers_,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital payments to suppliers/workers"
G12_table1__Digital_receipt_of_payments,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Digital receipt of payments"
G12_table1__Online_bank_transfers,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Online bank transfers"
G12_table1__Online_digital_loan_related_tr,"Financial Knowledge and Capability > Digital Financial Services > During the past 12 months, have you used: > Online/digital loan-related transactions"
G12_2,Financial Knowledge and Capability > Digital Financial Services > Difficulties experienced with digital financial services
G13_1,"Financial Knowledge and Capability > Training / Advisory Support > During the past 12 months, have you received:"
G14_1,Financial Knowledge and Capability > Training Provider > Training Provider
G15_1,Financial Knowledge and Capability > Usefulness of Training > Usefulness of Training
G15_2,Financial Knowledge and Capability > Usefulness of Training > Have you applied anything learned?
G16_table1__Applying_for_financing,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Who usually has the main say? > Applying for financing
G16_table1__Use_of_borrowed_funds,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Who usually has the main say? > Use of borrowed funds
G16_table1__Major_farm_enterprise_investme,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Who usually has the main say? > Major farm/enterprise investments
G16_table1__Marketing_buyer_decisions,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Who usually has the main say? > Marketing / buyer decisions
G16_table1__Major_expenditures,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Who usually has the main say? > Major expenditures
G16_table2__Applying_for_financing,Financial Knowledge and Capability > Financing and Enterprise Decision-Making > Financing and Enterprise Decision-Making > Applying for financing
